Date,Open,High,Low,Close,Adj Close,Volume
2018-07-16,122.209999,122.290001,121.639999,122.209999,119.492393,5517100
2018-07-17,122.290001,122.389999,121.900002,121.980003,119.267517,3764300
2018-07-18,122.019997,122.040001,121.389999,121.489998,118.788406,6330000
2018-07-19,121.800003,122.449997,121.769997,122.260002,119.541298,6166700
2018-07-20,121.580002,121.589996,120.699997,120.760002,118.074646,10469500
2018-07-23,120.379997,120.379997,119.180000,119.269997,116.617767,11571800
2018-07-24,119.279999,119.820000,119.139999,119.680000,117.018654,9053500
2018-07-25,120.019997,120.260002,119.260002,119.489998,116.832886,7357900
2018-07-26,119.709999,119.879997,119.160004,119.260002,116.608009,6821100
2018-07-27,119.849998,119.870003,119.400002,119.459999,116.803551,4542000
2018-07-30,118.989998,119.410004,118.970001,119.050003,116.402679,7111200
2018-07-31,119.790001,119.860001,119.559998,119.699997,117.038200,6797400
2018-08-01,118.290001,118.839996,118.070000,118.459999,116.084732,13312600
2018-08-02,118.620003,118.739998,118.300003,118.629997,116.251312,4451100
2018-08-03,118.830002,119.290001,118.809998,119.220001,116.829491,6162400
2018-08-06,119.540001,119.839996,119.269997,119.290001,116.898079,4200200
2018-08-07,119.029999,119.099998,118.570000,118.669998,116.290512,5346900
2018-08-08,118.660004,119.029999,118.610001,118.790001,116.408112,5640900
2018-08-09,119.230003,119.830002,119.120003,119.790001,117.388046,7144100
2018-08-10,120.370003,121.050003,120.279999,120.660004,118.240608,8457900
2018-08-13,120.250000,120.699997,120.209999,120.410004,117.995644,7923200
2018-08-14,120.540001,120.559998,120.029999,120.139999,117.731033,4251200
2018-08-15,120.660004,121.129997,120.570000,120.839996,118.417007,7649800
2018-08-16,120.809998,120.930000,120.279999,120.830002,118.407211,5400400
2018-08-17,121.089996,121.389999,120.750000,120.980003,118.554199,3537600
2018-08-20,121.639999,121.910004,121.540001,121.790001,119.347961,5603700
2018-08-21,121.370003,121.529999,121.070000,121.379997,118.946175,4695000
2018-08-22,122.000000,122.050003,121.580002,121.860001,119.416557,5309600
2018-08-23,122.000000,122.129997,121.779999,122.050003,119.602745,5328700
2018-08-24,121.620003,122.330002,121.489998,122.290001,119.837936,6092200
2018-08-27,121.779999,121.870003,121.519997,121.589996,119.151970,6407400
2018-08-28,121.000000,121.089996,120.680000,120.860001,118.436592,4929300
2018-08-29,120.940002,121.150002,120.620003,121.019997,118.593399,5613300
2018-08-30,121.309998,121.459999,121.080002,121.279999,118.848175,5302900
2018-08-31,121.889999,121.919998,120.889999,121.000000,118.573792,9677500
2018-09-04,119.959999,120.099998,119.750000,120.029999,117.888252,18343600
2018-09-05,119.760002,119.900002,119.550003,119.709999,117.573959,9422600
2018-09-06,119.760002,120.400002,119.690002,120.150002,118.006119,9566000
2018-09-07,119.330002,119.400002,118.989998,119.129997,117.004311,11212600
2018-09-10,119.169998,119.599998,119.169998,119.570000,117.436455,6386400
2018-09-11,119.080002,119.169998,118.599998,118.660004,116.542694,5440000
2018-09-12,119.050003,119.169998,118.900002,118.940002,116.817703,3347200
2018-09-13,119.339996,119.570000,118.980003,119.120003,116.994492,4833000
2018-09-14,118.410004,118.910004,118.300003,118.550003,116.434669,5579500
2018-09-17,118.180000,118.820000,118.120003,118.550003,116.434669,5433000
2018-09-18,118.059998,118.070000,117.160004,117.309998,115.216789,10182300
2018-09-19,117.110001,117.110001,116.190002,116.610001,114.529266,13379600
2018-09-20,116.580002,117.300003,116.470001,117.150002,115.059631,8657300
2018-09-21,116.870003,117.279999,116.839996,117.099998,115.010529,6173800
2018-09-24,116.739998,117.269997,116.720001,116.800003,114.715889,5505500
2018-09-25,116.480003,116.739998,116.400002,116.680000,114.598015,6650900
2018-09-26,116.930000,117.580002,116.660004,117.500000,115.403397,9512700
2018-09-27,117.239998,117.650002,117.099998,117.580002,115.481972,5758500
2018-09-28,117.849998,117.910004,117.220001,117.269997,115.177490,12807700
2018-10-01,116.660004,116.830002,116.120003,116.150002,114.331947,22442400
2018-10-02,116.669998,117.129997,116.599998,116.860001,115.030830,8266900
2018-10-03,116.269997,116.360001,114.239998,114.830002,113.032616,20829200
2018-10-04,114.129997,114.389999,113.709999,114.019997,112.235291,16207400
2018-10-05,113.389999,113.720001,112.620003,113.040001,111.270638,18096500
2018-10-08,112.989998,113.110001,112.639999,112.660004,110.896576,5855900
2018-10-09,113.139999,113.849998,113.070000,113.800003,112.018730,11530800
2018-10-10,113.139999,113.580002,112.790001,113.489998,111.713577,15290100
2018-10-11,114.000000,115.150002,113.790001,114.870003,113.071983,16086800
2018-10-12,114.389999,115.010002,114.279999,114.470001,112.678246,6794100
2018-10-15,114.660004,114.820000,114.290001,114.419998,112.629028,7146300
